Parcel,Bedrooms,Bathrooms,Living_area,Total_Value,Half_Baths,Purchase_Date,Construction_Quality,Address1,Address2,Condition_Score,Garage_Type,Finished_Basement,Total_Land,First_Sale_Date,First_Sale_Price,Second_Sale_Date,Second_Sale_Price
71201003,3,2,1832,208000,0,2006,B+ / GOOD+,5087 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,9648,12/20/2017,208000,3/7/2012,205000
71201004,4,2,1886,130000,0,1950,C+ / AVERAGE+,851 RICHMOND RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,10800,1/13/2010,112000,4/23/2009,55000
71201005,4,1,1752,120500,1,1956,C+ / AVERAGE+,855 RICHMOND RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,9900,7/10/2013,0,5/22/2008,0
71201006,3,1,1762,143000,0,1914,D+ / POOR+,859 RICHMOND RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,N/A,19800,3/28/2003,0,10/1/1993,0
71201008,3,1,1099,103200,0,1954,C+ / AVERAGE+,871 RICHMOND RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9900,8/19/2010,0,2/12/2002,100000
71201009,3,1,1592,110300,1,1926,C / AVERAGE,879 RICHMOND RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,10800,8/24/2016,119000,3/11/2014,0
71201010,3,1,1932,132500,1,1949,C+ / AVERAGE+,887 RICHMOND RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,10800,7/11/2016,124000,4/19/2010,139000
71201011,3,1,1502,104300,0,1928,C+ / AVERAGE+,895 RICHMOND RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,N/A,9900,1/31/2014,94000,7/6/1995,97900
71201012,3,2,2472,147200,1,1999,B+ / GOOD+,899 RICHMOND RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,9900,1/13/2012,156000,7/23/2007,261000
71201013,4,3,2266,210200,0,1985,B+ / GOOD+,5091 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,13939,11/29/1996,195000,2/28/1991,162500
71201014,4,2,1947,157000,1,1965,B / GOOD,5107 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,14250,4/13/2017,157000,3/31/2006,220000
71201015,4,2,2240,197700,1,1965,B+ / GOOD+,5115 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,13300,6/15/1990,137000,3/9/1976,67000
71201016,2,1,1624,102800,0,1920,C+ / AVERAGE+,5140 LYND AVE,"LYNDHURST, OH. 44124",FAIR,DETACHED,No,8500,1/4/2016,108000,7/20/2006,155000
71201017,3,2,1057,108500,0,1963,C+ / AVERAGE+,5148 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,6/20/2018,133000,7/13/2006,143000
71201018,4,2,1494,122500,0,1953,C+ / AVERAGE+,5144 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,N/A,8500,5/26/2011,109900,6/23/2009,0
71201020,4,1,1504,123200,0,1920,C+ / AVERAGE+,5136 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,N/A,8500,9/22/2009,116500,3/30/2004,143000
71201021,2,1,954,95200,0,1940,C+ / AVERAGE+,5128 LYND AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,11000,8/1/2019,132000,3/21/2008,39375
71201022,2,1,1088,109100,0,1950,C+ / AVERAGE+,5124 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8500,8/17/2006,0,5/24/1979,0
71201023,3,1,1458,110000,1,1949,C+ / AVERAGE+,5116 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,12/15/2017,105900,9/30/2014,72000
71201024,3,1,1276,108100,0,1948,C+ / AVERAGE+,5112 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,11900,7/29/1982,66500,8/1/1979,64000
71201025,3,1,1540,123800,1,1930,C / AVERAGE,5110 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,7/22/2004,0,11/19/1986,75500
71201026,3,1,1465,121600,1,1927,C / AVERAGE,5108 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,12/6/2001,35000,5/6/2002,130000
71201027,5,1,1866,133000,0,1941,C+ / AVERAGE+,5100 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,11/5/2013,0,1/1/1975,0
71201028,3,1,1211,114000,1,1950,C+ / AVERAGE+,5092 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,5/10/2019,135000,9/28/2010,125000
71201029,2,1,1056,107500,1,1936,C / AVERAGE,5093 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,4/21/2010,128500,8/27/1999,125000
71201030,3,1,1275,115400,0,1926,C+ / AVERAGE+,5097 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,1/22/2019,127000,7/1/2009,119900
71201031,3,2,1548,125900,0,1941,C / AVERAGE,5103 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,7500,2/19/2019,155250,5/14/2014,135900
71201032,3,1,1144,110700,0,1948,C+ / AVERAGE+,5107 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,9/19/2008,0,10/16/1979,56500
71201033,3,1,1368,118300,0,1946,C+ / AVERAGE+,5111 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,11/12/2009,0,5/27/2003,0
71201034,3,1,1892,133900,0,1925,C+ / AVERAGE+,5119 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,5/15/2012,130000,6/3/2005,153000
71201035,2,1,870,101000,0,1949,C+ / AVERAGE+,5123 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8500,9/22/2009,0,7/18/1984,60300
71201036,3,1,1301,115700,0,1947,C / AVERAGE,5127 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8500,2/11/2019,103000,5/12/2010,0
71201037,2,2,805,98100,0,1950,C+ / AVERAGE+,5131 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8500,2/19/2003,151000,8/27/1993,75000
71201038,3,1,1368,118700,0,1950,C+ / AVERAGE+,5139 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,9/18/1984,66500,1/1/1975,0
71201039,4,1,1308,106400,1,1948,C+ / AVERAGE+,5143 LYND AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8500,11/14/2017,0,9/10/1985,80000
71201040,3,1,1114,109400,0,1950,C+ / AVERAGE+,5147 LYND AVE,"LYNDHURST, OH. 44124",GOOD,NONE,No,8500,6/1/2018,150000,5/4/2005,0
71201041,2,1,1087,110000,0,1950,C+ / AVERAGE+,5148 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,6/27/2003,162000,4/18/1997,120000
71201042,4,1,1661,127000,0,1951,C+ / AVERAGE+,5144 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,6/18/1990,90000,9/30/1986,0
71201043,4,2,1943,134200,1,1951,C / AVERAGE,5140 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8500,7/6/2015,130000,8/13/1992,0
71201044,3,2,1296,118000,0,1953,C+ / AVERAGE+,5132 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,3/28/2007,157710,8/26/1997,0
71201045,2,1,955,103900,0,1952,C+ / AVERAGE+,5128 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,8500,12/11/2009,0,7/27/1990,83900
71201046,3,2,1675,128100,0,1941,C+ / AVERAGE+,5124 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,7/1/2016,139000,8/8/2013,0
71201047,2,1,1036,107000,0,1938,C+ / AVERAGE+,5116 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,N/A,8500,8/28/2017,112000,10/21/2005,134500
71201048,2,1,1010,107000,0,1949,C+ / AVERAGE+,5112 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,5/9/2012,112000,5/7/2004,135000
71201049,3,1,1295,115900,0,1953,C+ / AVERAGE+,5108 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,10/16/2002,134000,11/19/1997,96000
71201050,2,1,1485,122200,0,1950,C+ / AVERAGE+,5104 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,8/24/1993,0,8/29/1990,63000
71201051,2,1,1339,117200,0,1950,C+ / AVERAGE+,5100 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8500,8/17/2018,119900,4/28/2004,144500
71201052,3,1,1472,121700,2,1941,C+ / AVERAGE+,5092 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8500,11/25/2019,139900,7/25/2013,104500
71201053,3,1,1824,132800,1,1941,C+ / AVERAGE+,5091 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8800,3/5/1985,50000,1/1/1975,0
71201054,3,1,1301,116400,0,1941,C+ / AVERAGE+,5099 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8800,6/2/2017,133000,5/16/2007,154500
71201055,4,1,1485,122800,0,1950,C+ / AVERAGE+,5103 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8800,7/19/2019,45288,11/14/1994,0
71201056,3,1,1532,123900,1,1949,C+ / AVERAGE+,5107 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8800,4/25/2000,125000,2/24/1995,110000
71201058,2,1,924,102800,0,1942,C+ / AVERAGE+,5115 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8850,6/11/2018,122000,4/14/2014,0
71201060,3,1,1144,111400,1,1941,C+ / AVERAGE+,5127 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8850,6/23/1993,101000,7/12/1988,67600
71201062,3,2,1434,121300,0,1955,C+ / AVERAGE+,5139 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8900,12/4/2015,0,12/4/2015,0
71201064,2,1,1326,107100,0,1948,C+ / AVERAGE+,5147 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8900,3/20/2013,46700,12/10/2012,33334
71201066,4,1,2336,200300,1,1967,B+ / GOOD+,5139 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,13510,12/1/2015,197000,5/25/2000,190000
71201068,2,1,2114,187700,1,1965,B+ / GOOD+,5123 HICKORY DR,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,10575,8/13/2013,168500,5/19/2010,0
71201070,3,1,2387,202400,2,1950,B+ / GOOD+,907 RICHMOND RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,38255,9/19/2001,191000,5/31/1994,135600
71202002,2,1,1380,119000,0,1950,C+ / AVERAGE+,5159 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8950,4/17/2015,0,8/12/2008,0
71202004,3,2,1326,117900,0,1949,C+ / AVERAGE+,5167 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8950,3/5/2010,0,5/15/1992,83000
71202006,4,1,1305,117500,0,1948,C+ / AVERAGE+,5179 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,12600,3/26/2010,88000,1/1/1975,0
71202008,3,1,1252,114600,0,1952,C+ / AVERAGE+,5191 CASE AVE,"LYNDHURST, OH. 44124",FAIR,ATTACHED,No,9000,7/9/2018,82000,3/20/2015,0
71202010,3,1,1240,109900,0,1942,C / AVERAGE,5203 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9000,1/17/2017,0,12/1/2016,0
71202012,3,1,1233,124600,0,1950,C+ / AVERAGE+,5211 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9050,11/5/2004,155000,12/27/2000,119000
71202014,3,1,1238,115600,0,1941,B / GOOD,5219 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9100,8/29/2013,117000,8/31/2004,155000
71202016,4,2,1230,114700,0,1949,C+ / AVERAGE+,5231 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,9100,4/9/2019,120000,4/28/1999,117000
71202018,2,1,946,104000,0,1950,C+ / AVERAGE+,5236 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,10/22/2013,0,10/9/2007,0
71202020,4,2,1451,121700,1,1951,C+ / AVERAGE+,5228 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8500,9/26/2018,0,9/24/2018,0
71202022,2,1,1288,114800,0,1941,C / AVERAGE,5216 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,8500,10/31/2003,117900,1/1/1975,0
