parcel,bedrooms,bathrooms,living_area,total_value,half_baths,purchase_date,construction_quality,condition_score,garage_type,finished_basement,total_land,zipcodes,house_age,Inflation_Adj_Cost1,Inflation_Adj_Cost2
71201004,4,2,1886,130000,0,1950,C+ / AVERAGE+,GOOD,ATTACHED,No,10800.0,44124,70,142240.0,71500.0
71201005,4,1,1752,120500,1,1956,C+ / AVERAGE+,GOOD,DETACHED,No,9900.0,44124,64,0.0,0.0
71201006,3,1,1762,143000,0,1914,D+ / POOR+,AVERAGE,DETACHED,,19800.0,44124,106,0.0,0.0
71201008,3,1,1099,103200,0,1954,C+ / AVERAGE+,GOOD,ATTACHED,No,9900.0,44124,66,0.0,151000.0
71201009,3,1,1592,110300,1,1926,C / AVERAGE,AVERAGE,DETACHED,No,10800.0,44124,94,129710.00000000001,0.0
71201010,3,1,1932,132500,1,1949,C+ / AVERAGE+,GOOD,DETACHED,No,10800.0,44124,71,135160.0,176530.0
71201011,3,1,1502,104300,0,1928,C+ / AVERAGE+,AVERAGE,DETACHED,,9900.0,44124,92,108099.99999999999,168388.0
71201012,3,2,2472,147200,1,1999,B+ / GOOD+,GOOD,ATTACHED,,9900.0,44124,21,188760.0,354959.99999999994
71201013,4,3,2266,210200,0,1985,B+ / GOOD+,GOOD,ATTACHED,,13939.0,44124,35,329550.0,299000.0
71201014,4,2,1947,157000,1,1965,B / GOOD,GOOD,ATTACHED,No,14250.0,44124,55,166420.0,305800.0
71201015,4,2,2240,197700,1,1965,B+ / GOOD+,GOOD,ATTACHED,No,13300.0,44124,55,256190.00000000003,153430.0
71201016,2,1,1624,102800,0,1920,C+ / AVERAGE+,FAIR,DETACHED,No,8500.0,44124,100,117720.00000000001,215450.00000000003
71201017,3,2,1057,108500,0,1963,C+ / AVERAGE+,GOOD,DETACHED,No,8500.0,44124,57,136990.0,198770.00000000003
71201018,4,2,1494,122500,0,1953,C+ / AVERAGE+,GOOD,DETACHED,,8500.0,44124,67,136276.0,0.0
71201020,4,1,1504,123200,0,1920,C+ / AVERAGE+,GOOD,DETACHED,,8500.0,44124,100,151450.0,207350.0
71201021,2,1,954,95200,0,1940,C+ / AVERAGE+,AVERAGE,DETACHED,No,11000.0,44124,80,132000.0,52368.75
