parcel,bedrooms,bathrooms,living_area,total_value,half_baths,construction_quality,condition_score,garage_type,finished_basement_No,total_land,zipcodes,house_age,Inflation_Adj_Cost1,Inflation_Adj_Cost2
71201004,4,2,1886,130000,0,5,6,5,2,10800,6,70,142240,71500
71201005,4,1,1752,120500,1,5,6,2,2,9900,6,64,0,0
71201006,3,1,1762,143000,0,3,5,2,1,19800,6,106,0,0
71201008,3,1,1099,103200,0,5,6,5,2,9900,6,66,0,151000
71201009,3,1,1592,110300,1,4,5,2,2,10800,6,94,129710,0
71201010,3,1,1932,132500,1,5,6,2,2,10800,6,71,135160,176530
71201011,3,1,1502,104300,0,5,5,2,1,9900,6,92,108100,168388
71201012,3,2,2472,147200,1,7,6,5,1,9900,6,21,188760,354960
71201013,4,3,2266,210200,0,7,6,5,1,13939,6,35,329550,299000
71201014,4,2,1947,157000,1,6,6,5,2,14250,6,55,166420,305800
71201015,4,2,2240,197700,1,7,6,5,2,13300,6,55,256190,153430
71201016,2,1,1624,102800,0,5,4,2,2,8500,6,100,117720,215450
71201017,3,2,1057,108500,0,5,6,2,2,8500,6,57,136990,198770
71201018,4,2,1494,122500,0,5,6,2,1,8500,6,67,136276,0
71201020,4,1,1504,123200,0,5,6,2,1,8500,6,100,151450,207350
71201021,2,1,954,95200,0,5,5,2,2,11000,6,80,132000,52368.75
71201022,2,1,1088,109100,0,5,6,5,2,8500,6,70,0,0
71201023,3,1,1458,110000,1,5,6,2,2,8500,6,71,112254,82800
71201024,3,1,1276,108100,0,5,6,5,2,11900,6,72,140315,140800
71201025,3,1,1540,123800,1,4,6,2,2,8500,6,90,0,150245
71201026,3,1,1465,121600,1,4,6,2,2,8500,6,93,53900,196300
71201027,5,1,1866,133000,0,5,6,2,2,8500,6,79,0,0
71201028,3,1,1211,114000,1,5,6,2,2,8500,6,70,135000,158750
71201029,2,1,1056,107500,1,4,6,2,2,8500,6,84,163195,200000
71201030,3,1,1275,115400,0,5,6,2,2,8500,6,94,127000,155870
71201031,3,2,1548,125900,0,4,6,2,2,7500,6,79,155250,156285
71201032,3,1,1144,110700,0,5,6,2,2,8500,6,72,0,124300
71201033,3,1,1368,118300,0,5,6,2,2,8500,6,74,0,0
71201034,3,1,1892,133900,0,5,6,2,2,8500,6,95,157300,217260
71201035,2,1,870,101000,0,5,6,5,2,8500,6,71,0,123615
71201036,3,1,1301,115700,0,4,6,5,2,8500,6,73,103000,0
71201037,2,2,805,98100,0,5,6,5,2,8500,6,70,223480,133500
71201038,3,1,1368,118700,0,5,6,2,2,8500,6,70,136325,0
71201039,4,1,1308,106400,1,5,5,5,2,8500,6,72,0,161600
71201040,3,1,1114,109400,0,5,6,1,2,8500,6,70,154500,0
71201041,2,1,1087,110000,0,5,6,2,2,8500,6,70,239760,199200
71201042,4,1,1661,127000,0,5,6,2,2,8500,6,69,168300,0
71201043,4,2,1943,134200,1,4,6,5,2,8500,6,69,145600,0
71201044,3,2,1296,118000,0,5,6,2,2,8500,6,67,214485.6,0
71201045,2,1,955,103900,0,5,6,5,1,8500,6,68,0,156893
71201046,3,2,1675,128100,0,5,6,2,2,8500,6,79,151510,0
71201047,2,1,1036,107000,0,5,6,2,1,8500,6,82,118720,190990
71201048,2,1,1010,107000,0,5,6,2,2,8500,6,71,135520,195750
71201049,3,1,1295,115900,0,5,6,2,2,8500,6,67,202340,159360
71201050,2,1,1485,122200,0,5,6,2,2,8500,6,70,0,117810
71201051,2,1,1339,117200,0,5,5,2,2,8500,6,70,123497,209525
71201052,3,1,1472,121700,2,5,6,5,2,8500,6,79,139900,123310
71201053,3,1,1824,132800,1,5,6,2,2,8800,6,79,101000,0
71201054,3,1,1301,116400,0,5,6,5,2,8800,6,79,140980,210120
71201055,4,1,1485,122800,0,5,6,2,2,8800,6,70,45288,0
71201056,3,1,1532,123900,1,5,6,5,2,8800,6,71,196250,189200
71201058,2,1,924,102800,0,5,6,2,2,8850,6,78,125660,0
71201060,3,1,1144,111400,1,5,6,5,2,8850,6,79,179780,130468
71201062,3,2,1434,121300,0,5,6,2,2,8900,6,65,0,0
71201064,2,1,1326,107100,0,5,5,2,2,8900,6,72,55106,40334.14
71201066,4,1,2336,200300,1,7,6,5,2,13510,6,53,220640,298300
71201068,2,1,2114,187700,1,7,6,5,1,10575,6,55,198830,0
71201070,3,1,2387,202400,2,7,6,5,2,38255,6,70,294140,237300
71202002,2,1,1380,119000,0,5,6,5,2,8950,6,70,0,0
71202004,3,2,1326,117900,0,5,6,2,2,8950,6,71,0,150230
71202006,4,1,1305,117500,0,5,5,5,2,12600,6,72,111760,0
71202008,3,1,1252,114600,0,5,4,5,2,9000,6,68,84460,0
71202010,3,1,1240,109900,0,4,6,5,2,9000,6,78,0,0
71202012,3,1,1233,124600,0,5,6,5,2,9050,6,70,224750,186830
71202014,3,1,1238,115600,0,6,6,5,2,9100,6,79,138060,224750
71202016,4,2,1230,114700,0,5,6,5,2,9100,6,71,120000,187200
71202018,2,1,946,104000,0,5,6,2,2,8500,6,70,0,0
71202020,4,2,1451,121700,1,5,6,2,2,8500,6,69,0,0
71202022,2,1,1288,114800,0,4,6,5,1,8500,6,79,174492,0
71202024,2,1,1077,99600,0,5,4,2,2,8500,6,75,109760,0
71202026,3,1,1400,119400,1,4,6,2,2,8500,6,73,95450,0
71202028,2,2,1465,121400,0,5,5,2,2,11900,6,70,0,147200
71202030,4,1,1404,109900,1,5,6,5,2,8500,6,64,160200,116494
71202032,2,1,1316,116300,1,5,6,5,2,8500,6,60,205900,167660
71202034,3,2,1395,119400,0,5,6,2,2,8500,6,79,230740,205900
71202036,4,2,1514,122600,0,4,6,2,2,8500,6,95,250200,178400
71202038,3,1,1448,121600,0,6,6,5,2,8500,6,78,0,0
71202040,3,1,1875,145500,0,5,6,2,2,11900,6,68,0,200000
71202042,2,1,1384,119000,0,5,6,2,2,8500,6,67,0,160160
71202044,3,2,1437,120900,0,5,6,2,2,8500,6,68,150000,0
71202046,3,2,1580,125000,0,5,5,2,2,8500,6,67,111440,0
71202048,3,1,1496,121700,1,5,6,5,2,8500,6,79,139000,187650
71202050,3,2,1448,121300,0,5,6,2,2,8500,6,79,230040,210826
71202052,3,1,1142,119200,0,4,6,5,2,5500,6,79,229767,154000
71202054,3,1,1708,127600,1,5,6,2,2,8500,6,56,0,125430
71202056,3,1,1451,64600,1,6,4,5,2,8500,6,71,109180,70364.95
71202058,3,2,1736,128000,0,4,6,5,2,8500,6,79,159650,197600
71202060,3,1,1057,108400,0,5,6,2,1,8500,6,59,182490,0
71202062,2,1,888,110500,0,5,6,5,2,11900,6,67,124250,69000
71202064,3,1,1260,114500,0,5,6,5,2,8500,6,71,0,139100
71202066,3,1,1312,117600,0,6,6,2,1,8500,6,79,0,0
71202068,3,1,1494,122000,0,5,6,5,2,8500,6,70,0,0
71202070,4,2,2144,198000,1,6,6,5,2,14775,6,52,194700,337440
71202072,4,2,2395,206000,1,6,6,5,2,15000,6,52,228920,347500
71202074,4,2,2100,197100,1,6,6,5,2,14550,6,54,0,252700
71202076,4,2,2168,199200,0,6,4,5,2,14925,6,51,224000,149350
71202078,5,2,2416,206300,1,6,6,5,2,14850,6,52,139700,177800
71202080,3,2,2112,197200,1,6,6,5,2,14700,6,52,203000,305625
71203002,4,1,1338,107600,0,5,5,2,2,9150,6,67,177450,190441
71203004,3,1,1189,103300,1,5,5,5,2,9150,6,70,0,0
71203006,3,1,1180,120000,0,5,5,5,2,9200,6,69,132500,0
71203008,3,1,1168,103100,1,5,5,2,2,9200,6,69,149500,0
71203010,3,1,1840,120700,1,5,5,5,2,9200,6,51,0,0
71203012,4,1,1561,113400,1,5,5,2,2,9250,6,70,124260,0
71203014,3,1,1232,103600,1,5,5,2,2,8500,6,73,0,0
71203016,3,1,1436,109600,1,5,6,5,2,8500,6,70,154494.85,222400
71203018,3,1,1577,113100,1,5,4,5,2,8500,6,69,83430,0
71203020,2,1,920,94500,0,4,5,2,2,8500,6,79,153550,0
71203022,3,2,1628,114200,0,5,5,2,2,8500,6,79,0,0
71203024,4,1,1569,111000,1,5,5,5,2,8500,6,71,117660,0
71203026,3,1,1439,109200,1,5,5,5,2,8500,6,71,0,0
71203028,3,1,1540,112400,1,5,5,1,1,8500,6,91,138775,0
71203030,3,1,1418,109000,0,5,5,2,2,8500,6,69,143808,0
71203032,3,1,1430,109600,0,5,5,5,2,8500,6,70,174915,155750
71203034,4,1,1870,120300,0,5,5,5,2,8500,6,70,192560,153520
71203036,4,1,1268,100100,1,5,5,5,2,8500,6,73,131240,136400
71203038,2,1,1338,107000,0,5,5,2,1,8500,6,67,120554,94615
71203040,4,2,2087,124900,1,4,5,5,2,8500,6,71,0,0
71203042,5,2,2060,123600,1,5,4,2,2,8500,6,93,136857,146880
71203044,3,1,1474,110300,0,5,5,2,2,8500,6,89,205900,160000
71203046,2,1,1086,99600,0,5,5,5,2,8500,6,70,122000,214269
71203048,3,1,1340,107200,0,5,5,2,2,8500,6,69,104000,95334.2
71203050,3,2,2168,182000,0,6,5,5,2,15375,6,51,289680,0
71203052,4,2,2280,203500,1,6,6,5,2,15450,6,49,216910,169400
71203054,2,1,1067,91400,0,5,5,2,2,9400,6,68,0,0
71203056,3,1,1601,114600,0,5,5,2,2,9400,6,67,233450,0
